year,trades,wins,losses,win_rate_pct,simple_return_pct,compounded_return_pct,ending_equity,profit_factor,expectancy_pct,median_trade_pct,max_drawdown_pct,max_loss_streak,payoff_ratio,trade_sharpe,recovery_factor,average_clock_hours,scope,scenario,asset,market
2021,3,1,2,33.33333333333333,-2.495827760178491,-2.509562212418416,97.49043778758158,0.1708733782837611,-0.8319425867261637,-0.05895295902883899,-2.951235949165043,1,0.3417467565675222,-0.7757089009797064,-0.8503427904937305,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BINANCE_SPOT
2022,3,2,1,66.66666666666666,7.168068437545653,7.078562894622209,107.07856289462221,3.304361877639965,2.389356145848551,3.511203006014039,-3.110652240474876,1,1.6521809388199824,0.8221505670228912,2.27558799486425,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BINANCE_SPOT
2023,5,2,3,40.0,-2.7729709706714254,-2.767099851308629,97.23290014869137,0.18817968199247054,-0.5545941941342851,-0.14285712099119166,-3.2035267126440448,2,0.28226952298870583,-1.109238662061505,-0.8637667481863421,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BINANCE_SPOT
2024,4,2,2,50.0,3.688967097711448,3.693271878229055,103.69327187822906,6.4327617366152126,0.922241774427862,0.4070636382138454,-0.509548330585885,1,6.4327617366152126,1.0471574322999637,7.2481286985720965,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BINANCE_SPOT
2025,5,2,3,40.0,-2.384164271373274,-2.5686548750478124,97.43134512495219,0.68219184578366,-0.47683285427465477,-0.5070251560232711,-7.369868100918464,3,1.02328776867549,-0.33009530910474727,-0.3485347145802644,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BINANCE_SPOT
2026,3,3,0,100.0,5.781580219924724,5.874879182836807,105.8748791828368,inf,1.9271934066415746,1.4677220612757973,0.0,0,inf,2.4503735248555993,inf,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BINANCE_SPOT
2020,2,1,1,50.0,0.1873886710417183,0.1818474211779062,100.1818474211779,1.2854034325270551,0.09369433552085915,0.09369433552085915,-0.656574692821732,1,1.2854034325270551,0.12488098532847396,0.2769637988884229,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BYBIT_PERPETUAL
2021,2,1,1,50.0,2.149607427098417,2.013936893728797,102.0139368937288,1.7782354727246243,1.0748037135492086,1.0748037135492086,-2.762155546023337,1,1.7782354727246243,0.28011861498600993,0.7291178429934015,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BYBIT_PERPETUAL
2022,1,0,1,0.0,-3.106569348942817,-3.106569348942827,96.89343065105717,0.0,-3.106569348942817,-3.106569348942817,-3.1065693489428226,1,0.0,0.0,-1.0000000000000013,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BYBIT_PERPETUAL
2023,5,2,3,40.0,-2.99384212519178,-2.984158564368599,97.0158414356314,0.17370730372436585,-0.598768425038356,-0.25510061087604746,-3.4210728655263534,2,0.2605609555865488,-1.168014062295139,-0.8722873442537645,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BYBIT_PERPETUAL
2024,6,3,3,50.0,9.545061962931328,9.667717467123211,109.66771746712321,5.77286673670936,1.5908436604885547,0.39039118026980446,-1.7848598622663414,2,5.772866736709359,1.2234986358706488,5.41651345940826,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BYBIT_PERPETUAL
2025,5,2,3,40.0,-2.507524333769502,-2.691549410810282,97.30845058918972,0.6699582656956524,-0.5015048667539004,-0.5507102341110605,-7.461748456805939,3,1.0049373985434789,-0.3454790807843968,-0.3607129651168141,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BYBIT_PERPETUAL
2026,3,3,0,100.0,5.795417669507919,5.888939285254651,105.88893928525465,inf,1.931805889835973,1.4592123039030958,0.0,0,inf,2.4358046702992264,inf,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BYBIT_PERPETUAL
2020,1,1,0,100.0,4.862273703590055,4.8622737035900485,104.86227370359005,inf,4.862273703590055,4.862273703590055,0.0,0,inf,0.0,inf,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,OKX_PERPETUAL
2021,3,2,1,66.66666666666666,-2.0703155072687642,-2.0875634156070078,97.91243658439299,0.24286462049905413,-0.6901051690895881,0.20324000236281228,-2.7344059772155704,1,0.12143231024952707,-0.673370535220757,-0.7634431145197983,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,OKX_PERPETUAL
2022,2,1,1,50.0,0.37064303776526053,0.2614433505518008,100.2614433505518,1.1186282260996738,0.18532151888263027,0.18532151888263027,-3.124408498309994,1,1.1186282260996738,0.05599294139400029,0.08367771073891798,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,OKX_PERPETUAL
2023,6,2,4,33.33333333333333,-4.865543184945032,-4.796048105412083,95.20395189458792,0.08721130041624787,-0.8109238641575054,-0.6089293722556456,-5.087855397508989,3,0.17442260083249575,-1.845880800852983,-0.9426463078648474,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,OKX_PERPETUAL
